timestamp,bicycle,car,motorbike,bus,truck,person,bird,cat,dog,umbrella,suitcase,other
20240113_000011,0,0,0,0,0,0,0,0,0,0,0,0
20240113_001010,0,0,0,0,0,0,0,0,0,0,0,0
20240113_002011,0,0,0,0,0,0,0,0,0,0,0,0
20240113_003011,0,1,0,0,0,0,0,0,0,0,0,0
20240113_004011,0,0,0,0,0,0,0,0,0,0,0,0
20240113_005011,0,0,0,0,0,0,0,0,0,0,0,0
20240113_010011,0,0,0,0,0,0,0,0,0,0,0,0
20240113_011011,0,1,0,0,0,0,0,0,0,0,0,0
20240113_012011,0,1,0,0,0,0,0,0,0,0,0,0
20240113_013011,0,0,0,0,0,0,0,0,0,0,0,0
20240113_014011,0,0,0,0,0,0,0,0,0,0,0,0
20240113_015011,0,0,0,0,0,0,0,0,0,0,0,0
20240113_020011,0,0,0,0,0,0,0,0,0,0,0,0
20240113_021011,0,0,0,0,0,0,0,0,0,0,0,0
20240113_022011,0,0,0,0,0,0,0,0,0,0,0,0
20240113_023011,0,0,0,0,0,0,0,0,0,0,0,0
20240113_024011,0,0,0,0,0,0,0,0,0,0,0,0
20240113_025010,0,1,0,0,0,0,0,0,0,0,0,0
20240113_030011,0,0,0,0,0,0,0,0,0,0,0,0
20240113_031011,0,0,0,0,0,0,0,0,0,0,0,0
20240113_032011,0,0,0,0,0,0,0,0,0,0,0,0
20240113_033011,0,0,0,0,0,0,0,0,0,0,0,0
20240113_034011,0,0,0,0,0,0,0,0,0,0,0,0
20240113_035011,0,0,0,1,0,0,0,0,0,0,0,0
20240113_040011,0,0,0,0,0,0,0,0,0,0,0,0
20240113_041011,0,1,0,0,0,0,0,0,0,0,0,0
20240113_042011,0,0,0,0,0,0,0,0,0,0,0,0
20240113_043011,0,0,0,0,0,0,0,0,0,0,0,0
20240113_044011,0,0,0,0,0,0,0,0,0,0,0,0
20240113_045011,0,0,0,0,0,0,0,0,0,0,0,0
20240113_050011,0,0,0,0,0,0,0,0,0,0,0,0
20240113_051011,0,0,0,0,0,0,0,0,0,0,0,0
20240113_052011,0,0,0,0,0,0,0,0,0,0,0,0
20240113_053011,0,0,0,0,0,0,0,0,0,0,0,0
20240113_054011,0,0,0,0,0,0,0,0,0,0,0,0
20240113_055011,0,0,0,0,0,0,0,0,0,0,0,0
20240113_060011,0,0,0,0,0,0,0,0,0,0,0,0
20240113_061011,0,1,0,0,0,0,0,0,0,0,0,0
20240113_062011,0,0,0,0,0,0,0,0,0,0,0,0
20240113_063011,0,0,0,0,0,0,0,0,0,0,0,0
20240113_064010,0,0,0,0,1,0,0,0,0,0,0,0
20240113_065010,0,0,0,0,1,0,0,0,0,0,0,0
20240113_070010,0,2,0,0,0,0,0,0,0,0,0,0
20240113_071010,0,3,0,0,0,0,0,0,0,0,0,0
20240113_072011,0,4,0,0,0,0,0,0,0,0,0,0
20240113_073011,0,4,0,0,0,0,0,0,0,0,0,0
20240113_074011,0,2,0,0,0,0,0,0,0,0,0,0
20240113_075011,0,2,0,0,0,0,0,0,0,0,0,0
20240113_080011,0,3,0,0,0,0,0,0,0,0,0,0
20240113_081011,0,3,0,0,0,0,0,0,0,0,0,0
20240113_082011,0,1,0,0,0,0,0,0,0,0,0,0
20240113_083011,0,2,0,0,0,0,0,0,0,0,0,0
20240113_084010,0,4,0,0,0,0,0,0,0,0,0,0
20240113_085011,0,1,0,0,0,0,0,0,0,0,0,0
20240113_090011,0,2,0,0,0,0,0,0,0,0,0,0
20240113_091011,0,4,0,0,0,0,0,0,0,0,0,0
20240113_092011,0,2,0,0,0,0,0,0,0,0,0,0
20240113_093011,0,4,0,0,0,0,0,0,0,0,0,0
20240113_094011,0,3,0,0,0,0,0,0,0,0,0,0
20240113_095011,0,1,0,0,0,0,0,0,0,0,0,0
20240113_100011,0,2,0,0,0,0,0,0,0,0,0,0
20240113_101011,0,3,0,0,0,0,0,0,0,0,0,0
20240113_102010,0,3,0,0,0,0,0,0,0,0,0,0
20240113_103010,0,1,0,0,0,0,0,0,0,0,1,0
20240113_104010,0,2,0,0,0,0,0,0,0,0,0,0
20240113_105010,0,2,0,0,0,0,0,0,0,0,0,0
20240113_110010,0,4,0,0,1,0,0,0,0,0,0,0
20240113_111011,0,5,0,0,0,0,0,0,0,0,0,0
20240113_112011,0,1,0,0,0,0,0,0,0,0,0,0
20240113_113011,0,5,0,0,0,0,0,0,0,0,0,0
20240113_114011,0,2,0,0,1,0,0,0,0,0,0,0
20240113_115011,0,5,0,0,0,0,0,0,0,0,0,1
20240113_120011,0,3,0,0,1,0,0,0,0,0,0,0
20240113_121011,0,4,0,0,0,0,0,0,0,0,0,0
20240113_122011,0,3,0,0,1,0,0,0,0,0,0,0
20240113_123011,0,2,0,0,1,0,0,0,0,0,0,0
20240113_124011,0,4,0,0,1,0,0,0,0,0,0,0
20240113_125011,0,2,0,0,0,0,0,0,0,0,0,0
20240113_130011,0,2,0,0,0,0,0,0,0,0,1,0
